miliseconds,steering,throttle
1697213143.5510972,0.2,0.3
1697213143.5588913,0.2,0.3
1697213143.5647538,0.2,0.3
1697213143.571378,0.2,0.3
1697213143.5797458,0.2,0.3
1697213143.5853891,0.2,0.3
1697213143.591793,0.2,0.3
1697213143.5980484,0.2,0.3
1697213143.6042128,0.2,0.3
1697213143.6123414,0.2,0.3
1697213143.6187153,0.2,0.3
1697213143.625556,0.2,0.3
1697213143.6320653,0.2,0.3
1697213143.6375797,0.2,0.3
1697213143.6472743,0.2,0.3
1697213143.6533659,0.2,0.3
1697213143.6604714,0.2,0.3
1697213143.6660917,0.2,0.3
1697213143.6731157,0.2,0.3
1697213143.6820793,0.2,0.3
1697213143.6889575,0.2,0.3
1697213143.6958675,0.2,0.3
1697213143.701928,0.2,0.3
1697213143.7101383,0.2,0.3
1697213143.723015,0.2,0.3
1697213143.7338808,0.2,0.3
1697213143.7424226,0.2,0.3
1697213143.7500346,0.2,0.3
1697213143.7589848,0.2,0.3
1697213143.7657259,0.2,0.3
1697213143.7724771,0.2,0.3
1697213143.7811155,0.2,0.3
1697213143.7885966,0.2,0.3
1697213143.7960844,0.2,0.3
1697213143.8028946,0.2,0.3
1697213143.8176532,0.2,0.3
1697213143.8261979,0.2,0.3
1697213143.8355758,0.2,0.3
1697213143.843278,0.2,0.3
1697213143.8530736,0.2,0.3
1697213143.8599718,0.2,0.3
1697213143.8664343,0.2,0.3
1697213143.872221,0.2,0.3
1697213143.8801777,0.2,0.3
1697213143.887082,0.2,0.3
1697213143.893558,0.2,0.3
1697213143.8994315,0.2,0.3
1697213143.9056232,0.2,0.3
1697213143.913072,0.2,0.3
1697213143.919066,0.2,0.3
1697213143.925144,0.2,0.3
1697213143.9312057,0.2,0.3
1697213143.9368432,0.2,0.3
1697213143.9443595,0.2,0.3
1697213143.9504163,0.2,0.3
1697213143.9570382,0.2,0.3
1697213143.9634979,0.2,0.3
1697213143.9697154,0.2,0.3
1697213143.9769535,0.2,0.3
1697213143.9834716,0.2,0.3
1697213143.9903955,0.2,0.3
1697213143.9968748,0.2,0.3
1697213144.0033615,0.2,0.3
1697213144.0102339,0.2,0.3
1697213144.016824,0.2,0.3
1697213144.02678,0.2,0.3
1697213144.032795,0.2,0.3
1697213144.0390694,0.2,0.3
1697213144.0498407,0.2,0.3
1697213144.0571718,0.2,0.3
1697213144.0652266,0.2,0.3
1697213144.0753515,0.2,0.3
1697213144.0823617,0.2,0.3
1697213144.0886643,0.2,0.3
1697213144.095932,0.2,0.3
1697213144.1027906,0.2,0.3
1697213144.1100461,0.2,0.3
1697213144.1182315,0.2,0.3
1697213144.1348047,0.2,0.3
1697213144.1512146,0.2,0.3
1697213144.1677086,0.2,0.3
1697213144.1855018,0.2,0.3
1697213144.198756,0.2,0.3
1697213144.204826,0.2,0.3
1697213144.210936,0.2,0.3
1697213144.2177515,0.2,0.3
1697213144.2251241,0.2,0.3
1697213144.233138,0.2,0.3
1697213144.2391934,0.2,0.3
1697213144.2466357,0.2,0.3
1697213144.2532094,0.2,0.3
1697213144.2598855,0.2,0.3
1697213144.2663336,0.2,0.3
1697213144.2726917,0.2,0.3
1697213144.2806149,0.2,0.3
1697213144.289936,0.2,0.3
1697213144.2965684,0.2,0.3
1697213144.3028672,0.2,0.3
1697213144.3096023,0.2,0.3
1697213144.3174834,0.2,0.3
1697213144.3307445,0.2,0.3
1697213144.3369963,0.2,0.3
1697213144.3432503,0.2,0.3
1697213144.3517606,0.2,0.3
1697213144.3615685,0.2,0.3
1697213144.3678317,0.2,0.3
1697213144.3746054,0.2,0.3
1697213144.3824303,0.2,0.3
1697213144.3910391,0.2,0.3
1697213144.3984125,0.2,0.3
1697213144.4048243,0.2,0.3
1697213144.4127433,0.2,0.3
1697213144.420506,0.2,0.3
1697213144.4291787,0.2,0.3
1697213144.4354718,0.2,0.3
1697213144.4432268,0.2,0.3
1697213144.450914,0.2,0.3
